hosp_date,age_group,new_hosp
2021-05-01,00-04,52
2021-05-01,00+,3249
2021-05-01,05-14,54
2021-05-01,15-34,361
2021-05-01,35-59,852
2021-05-01,60-79,1286
2021-05-01,80+,644
2021-05-02,00-04,55
2021-05-02,00+,3414
2021-05-02,05-14,58
2021-05-02,15-34,381
2021-05-02,35-59,925
2021-05-02,60-79,1335
2021-05-02,80+,660
2021-05-03,00-04,49
2021-05-03,00+,3486
2021-05-03,05-14,67
2021-05-03,15-34,370
2021-05-03,35-59,932
2021-05-03,60-79,1372
2021-05-03,80+,696
2021-05-04,00-04,55
2021-05-04,00+,4256
2021-05-04,05-14,79
2021-05-04,15-34,434
2021-05-04,35-59,1266
2021-05-04,60-79,1616
2021-05-04,80+,806
2021-05-05,00-04,69
2021-05-05,00+,4410
2021-05-05,05-14,72
2021-05-05,15-34,494
2021-05-05,35-59,1284
2021-05-05,60-79,1662
2021-05-05,80+,829
2021-05-06,00-04,78
2021-05-06,00+,4462
2021-05-06,05-14,90
2021-05-06,15-34,456
2021-05-06,35-59,1304
2021-05-06,60-79,1648
2021-05-06,80+,886
2021-05-07,00-04,61
2021-05-07,00+,4591
2021-05-07,05-14,91
2021-05-07,15-34,496
2021-05-07,35-59,1399
2021-05-07,60-79,1665
2021-05-07,80+,879
2021-05-08,00-04,67
2021-05-08,00+,4464
2021-05-08,05-14,54
2021-05-08,15-34,439
2021-05-08,35-59,1438
2021-05-08,60-79,1591
2021-05-08,80+,875
2021-05-09,00-04,50
2021-05-09,00+,3454
2021-05-09,05-14,57
2021-05-09,15-34,378
2021-05-09,35-59,1002
2021-05-09,60-79,1271
2021-05-09,80+,696
2021-05-10,00-04,57
2021-05-10,00+,3214
2021-05-10,05-14,45
2021-05-10,15-34,361
2021-05-10,35-59,920
2021-05-10,60-79,1207
2021-05-10,80+,624
2021-05-11,00-04,53
2021-05-11,00+,4633
2021-05-11,05-14,51
2021-05-11,15-34,511
2021-05-11,35-59,1345
2021-05-11,60-79,1802
2021-05-11,80+,871
2021-05-12,00-04,75
2021-05-12,00+,5326
2021-05-12,05-14,54
2021-05-12,15-34,543
2021-05-12,35-59,1864
2021-05-12,60-79,1922
2021-05-12,80+,868
2021-05-13,00-04,93
2021-05-13,00+,4446
2021-05-13,05-14,56
